Token,SHAP_Score
Fact ,15.798393352297667
Did ,2.859908898402157
Fake ,2.6477061858317548
shared ,2.4615871482912177
Check,1.7812820445794615
not ,1.655047505208962
Old ,1.59991081696935
Fake,1.2301022542524152
video ,1.1256650016894685
fake ,1.1160864851553924
False,1.0828738771704574
this ,1.0688717877700702
viral ,1.060958020105702
Video ,0.9847191207006906
Shared ,0.797888428872821
false,0.7469894498935901
truth ,0.6007562447792973
photo ,0.5904466198757291
the ,0.5780313192775155
True,0.5643481822711799
Viral ,0.5591835136609998
claims ,0.44081520414329134
This ,0.43845969438008225
attributed ,0.4183617255218754
Viral,0.4096434627426788
BJP ,0.401350978112896
fact ,0.39746969594853
rub,0.38836062877089716
Image ,0.37951069755945355
Was ,0.3618687457492342
